q1 loss,q2 loss,pi loss,alpha loss,alpha,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.2614673,1.5688038,0.5334279,7.9928775,0.8995796,32.384865,4.4029136,164,0.19187312,0.4,0.06666667,0.0,0.33333334,0.2,5.487071,218.97423,-3.2954943,1.2666665,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.46393397,2.783604,0.8471629,7.9928775,0.9053559,32.59281,4.0434875,221,0.20645732,0.73333335,0.13333334,0.13333334,0.0,0.0,5.1468,180.83836,-5.7249603,-1.1628,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.18291919,1.0975151,0.38702005,11.745042,1.5736469,56.651287,6.1020565,0,0.45550773,0.8,0.06666667,0.0,0.06666667,0.06666667,7.5177803,177.84042,-2.046695,2.563733,0.0,-4.5,-0.019142022,-0.091285996
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.177853,1.067118,0.43682677,10.238581,1.4153585,50.952908,5.562784,0,0.3912287,0.8,0.0,0.06666667,0.06666667,0.06666667,7.326369,251.57404,-0.10193803,4.4776664,0.0,-4.5,-2.7084692e-05,-0.07957733
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.50812936,3.0487761,1.1458188,8.005741,1.2055606,43.40018,4.516193,0,0.3136845,0.73333335,0.0,0.0,0.06666667,0.2,4.66185,139.41391,-5.6781993,-1.1159334,0.0,-4.5,-4.270013e-05,-0.06222303
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.18296213,1.0977728,0.32400468,10.519963,1.3272004,47.779213,5.370148,0,0.35085455,0.8,0.06666667,0.0,0.0,0.13333334,7.167179,213.76796,-2.0256636,2.5649998,0.0,-4.5,-0.008899153,-0.08176432
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.12924337,0.77546024,0.30566925,11.222739,1.431236,51.524498,5.759325,0,0.32868856,0.53333336,0.06666667,0.06666667,0.06666667,0.26666668,6.6297503,144.345,2.1765187,6.764,0.0,-4.5,-0.00025490994,-0.0872265
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.38988647,2.3393188,0.74255955,7.9928775,1.0320511,37.15384,4.685462,161,0.23098384,0.46666667,0.13333334,0.06666667,0.13333334,0.2,4.8912354,157.69823,-3.417094,1.1450666,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.23931669,1.4359001,0.4879628,7.9928775,0.8613472,31.0085,4.2637796,169,0.16488212,0.33333334,0.2,0.0,0.26666668,0.2,5.3180075,198.81367,-1.330894,3.2312667,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.3214861,1.9289166,0.60198104,8.203414,0.8422577,30.321276,4.248201,216,0.17615874,0.53333336,0.0,0.0,0.4,0.06666667,5.067387,161.58621,-3.4822097,1.0817332,0.0,-4.5,-0.0001835276,-0.0637594
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.27190915,1.6314548,0.52682644,7.993354,0.46896756,16.882832,2.1271539,277,0.065697305,0.26666668,0.06666667,0.13333334,0.53333336,0.0,6.1833134,341.61188,-5.0067644,-0.44460005,0.0,-4.5,-3.7842303e-05,-0.062126752
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.30333614,1.8200169,0.5662845,8.791215,1.2854037,46.274532,4.508333,0,0.33149377,0.6666667,0.13333334,0.06666667,0.06666667,0.06666667,5.811924,195.07744,-1.8294809,2.7423334,0.0,-4.5,-0.0034864333,-0.06832796
