spline points,lon,lat
247,-0.04638815,0.680438
248,-0.058981836,0.6889842
249,-0.071573615,0.6973989
250,-0.08415902,0.7056768
251,-0.09673339,0.7138127
252,-0.10929197,0.7218014
253,-0.121830404,0.7296377
254,-0.13434386,0.7373163
255,-0.14682776,0.74483204
256,-0.1592775,0.7521797
257,-0.17168844,0.759354
258,-0.18405598,0.7663497
259,-0.19637549,0.7731616
260,-0.2086423,0.77978456
261,-0.2208519,0.7862133
262,-0.23299956,0.7924425
263,-0.24508065,0.79846704
264,-0.2570907,0.8042817
265,-0.2690249,0.8098812
266,-0.28087872,0.8152604
267,-0.2926476,0.820414
268,-0.30432677,0.8253368
269,-0.3159117,0.8300236
270,-0.32739788,0.8344691
271,-0.33878046,0.8386681
272,-0.35005492,0.8426155
273,-0.3612166,0.84630585
274,-0.37226093,0.8497341
275,-0.38318324,0.852895
276,-0.393979,0.8557833
277,-0.40464348,0.8583937
278,-0.41517222,0.8607211
279,-0.42556047,0.86276025
280,-0.43580353,0.86450595
281,-0.44589692,0.86595285
282,-0.45583594,0.86709577
283,-0.465616,0.8679296
284,-0.47523254,0.86844903
285,-0.48468077,0.86864877
286,-0.4939562,0.8685237
287,-0.5030542,0.8680686
288,-0.51197004,0.86727816
289,-0.5206992,0.8661472
290,-0.52923715,0.86467046
291,-0.5375792,0.8628428
292,-0.54572046,0.860659
293,-0.5536567,0.8581137
294,-0.561383,0.8552018
295,-0.5688951,0.851918
296,-0.57618797,0.8482571
297,-0.5832572,0.8442139
298,-0.59009814,0.8397832
299,-0.5967063,0.8349597
300,-0.6030766,0.829738
301,-0.60928035,0.8239986
302,-0.6153914,0.8176328
303,-0.62140983,0.810653
304,-0.6273359,0.8030715
305,-0.63316965,0.79490054
306,-0.63891125,0.7861524
307,-0.6445609,0.77683944
308,-0.65011865,0.7669739
309,-0.6555847,0.756568
310,-0.6609592,0.74563414
311,-0.66624224,0.73418456
312,-0.671434,0.7222315
313,-0.67653465,0.7097873
314,-0.68154424,0.69686425
315,-0.68646306,0.68347454
316,-0.6912911,0.6696306
317,-0.6960286,0.6553446
318,-0.70067567,0.64062893
319,-0.70523244,0.6254958
320,-0.7096991,0.60995746
321,-0.71407574,0.5940263
322,-0.7183625,0.57771456
323,-0.7225596,0.56103456
324,-0.7266671,0.5439985
325,-0.7306852,0.5266186
326,-0.734614,0.50890744
327,-0.7384536,0.490877
328,-0.7422043,0.47253972
329,-0.7458661,0.45390785
330,-0.74943924,0.43499374
331,-0.7529237,0.41580954
332,-0.7563199,0.39636764
333,-0.7596277,0.37668034
334,-0.76284736,0.3567598
